"case_1","case_2","accused_in_common"
"Caso ERE/Acyco","Caso ERE/Sierra Norte de Sevilla",2
"Caso ERE/Acyco","Caso ERE/Sobrecomisiones",2
"Caso ERE/Acyco","Caso ERE/Yogures Andaluces",2
"Caso ERE/Egmasa","Caso ERE/Franja Pirítica",4
"Caso ERE/Egmasa","Caso ERE/Fundación San Telmo",2
"Caso ERE/Egmasa","Caso ERE/Heineken España",2
"Caso ERE/Egmasa","Caso ERE/Matadero Fuenteobejuna",3
"Caso ERE/Egmasa","Caso ERE/Pieza Política",3
"Caso ERE/Egmasa","Caso ERE/Santana Motor",4
"Caso ERE/Egmasa","Caso ERE/Sierra Norte de Sevilla",3
"Caso ERE/Egmasa","Caso ERE/SK 3000",1
"Caso ERE/Egmasa","Caso ERE/Yogures Andaluces",3
"Caso ERE/Franja Pirítica","Caso ERE/Fundación San Telmo",2
"Caso ERE/Franja Pirítica","Caso ERE/Hamsa Primayor",2
"Caso ERE/Franja Pirítica","Caso ERE/Heineken España",2
"Caso ERE/Franja Pirítica","Caso ERE/Matadero Fuenteobejuna",2
"Caso ERE/Franja Pirítica","Caso ERE/Pieza Política",3
"Caso ERE/Franja Pirítica","Caso ERE/Santana Motor",5
"Caso ERE/Franja Pirítica","Caso ERE/Sierra Norte de Sevilla",3
"Caso ERE/Franja Pirítica","Caso ERE/SK 3000",1
"Caso ERE/Franja Pirítica","Caso ERE/Sobrecomisiones",5
"Caso ERE/Franja Pirítica","Caso ERE/Surcolor",3
"Caso ERE/Franja Pirítica","Caso ERE/Yogures Andaluces",3
"Caso ERE/Fundación San Telmo","Caso ERE/Hamsa Primayor",1
"Caso ERE/Fundación San Telmo","Caso ERE/Heineken España",1
"Caso ERE/Fundación San Telmo","Caso ERE/Instaladora Moderna",1
"Caso ERE/Fundación San Telmo","Caso ERE/Matadero Fuenteobejuna",1
"Caso ERE/Fundación San Telmo","Caso ERE/Pieza Política",2
"Caso ERE/Fundación San Telmo","Caso ERE/Santana Motor",2
"Caso ERE/Fundación San Telmo","Caso ERE/Sierra Norte de Sevilla",2
"Caso ERE/Fundación San Telmo","Caso ERE/SK 3000",1
"Caso ERE/Fundación San Telmo","Caso ERE/Sobrecomisiones",1
"Caso ERE/Fundación San Telmo","Caso ERE/Surcolor",1
"Caso ERE/Fundación San Telmo","Caso ERE/Yogures Andaluces",2
"Caso ERE/Hamsa Primayor","Caso ERE/Heineken España",2
"Caso ERE/Hamsa Primayor","Caso ERE/Matadero Fuenteobejuna",3
"Caso ERE/Hamsa Primayor","Caso ERE/Santana Motor",3
"Caso ERE/Hamsa Primayor","Caso ERE/Sierra Norte de Sevilla",2
"Caso ERE/Hamsa Primayor","Caso ERE/Yogures Andaluces",2
"Caso ERE/Heineken España","Caso ERE/Instaladora Moderna",3
"Caso ERE/Heineken España","Caso ERE/Matadero Fuenteobejuna",2
